mention,count
20,3
caseyadog,3
moderator,2
01,2
1,2
isaac,2
leftistwonk,1
disastroussundae,1
54,1
3,1
edwardpun1,1
home,1
realjameswoods,1
fortleak,1
trump,1
omar,1
danbuben,1
0,1
2,1
kimjongun,1
potema,1
старушкоеба,1
elonmusk,1
khuvju,1
nakedreader_ga,1
00,1
jimpreston_36730,1
oprah,1
petebuttigieg,1
thr,1
ed,1
ilhan1077,1
troyhunt,1
me,1
poojie,1
peteblackburn,1
thelightwason,1
habermetrics,1
natstattrick,1
etnow,1
augustostberg,1
45,1
50,1
kjp,1
jasonrmcintyre,1
a,1
madrid,1
robinhood,1
zozy_yy,1
phoenix,1
